time,received_at,cloud_event_id,MESSAGES.COM.MDI.APPLICATIONS.MSP.DATACOLLECTOR.ACC_X (m/s²),MESSAGES.COM.MDI.APPLICATIONS.MSP.DATACOLLECTOR.ACC_Y (m/s²),MESSAGES.COM.MDI.APPLICATIONS.MSP.DATACOLLECTOR.ACC_Z (m/s²)
2024-09-15T08:23:30.029,2024-09-15T08:23:58.000,1946512054084960518,9.414383999999998,5.021004799999999,-0.6276255999999999
2024-09-15T08:23:30.031,2024-09-15T08:23:58.000,1946512054084960518,8.786758399999998,4.393379199999999,-0.6276255999999999
2024-09-15T08:23:30.034,2024-09-15T08:23:58.000,1946512054084960518,8.786758399999998,4.393379199999999,-0.6276255999999999
2024-09-15T08:23:30.036,2024-09-15T08:23:58.000,1946512054084960518,8.786758399999998,4.393379199999999,-0.6276255999999999
2024-09-15T08:23:30.039,2024-09-15T08:23:58.000,1946512054084960518,9.414383999999998,5.021004799999999,-0.6276255999999999
2024-09-15T08:23:30.041,2024-09-15T08:23:58.000,1946512054084960518,8.786758399999998,5.021004799999999,-0.6276255999999999
2024-09-15T08:23:30.043,2024-09-15T08:23:58.000,1946512054084960518,9.414383999999998,5.021004799999999,-0.6276255999999999
2024-09-15T08:23:30.046,2024-09-15T08:23:58.000,1946512054084960518,8.786758399999998,5.021004799999999,-0.6276255999999999
2024-09-15T08:23:30.048,2024-09-15T08:23:58.000,1946512054084960518,9.414383999999998,5.021004799999999,-0.6276255999999999
2024-09-15T08:23:30.051,2024-09-15T08:23:58.000,1946512054084960518,8.786758399999998,5.021004799999999,-0.6276255999999999
2024-09-15T08:23:30.053,2024-09-15T08:23:58.000,1946512054084960518,8.786758399999998,5.021004799999999,-0.6276255999999999
2024-09-15T08:23:30.056,2024-09-15T08:23:58.000,1946512054084960518,8.159132799999998,4.393379199999999,-0.6276255999999999
2024-09-15T08:23:30.058,2024-09-15T08:23:58.000,1946512054084960518,8.786758399999998,4.393379199999999,-0.6276255999999999
2024-09-15T08:23:30.061,2024-09-15T08:23:58.000,1946512054084960518,8.159132799999998,4.393379199999999,-0.6276255999999999
2024-09-15T08:23:30.063,2024-09-15T08:23:58.000,1946512054084960518,8.786758399999998,5.021004799999999,-0.6276255999999999
